Business Unit,Sponsorship,Link,Comments,Budget
Canela.TV,Indomables,A_Indomables,Build if sold | Start at $ | Timming,"750,000.00"
Canela.TV,Secreto de Villanas,B_Villanas,,"750,000.00"
Canela.TV,Secreto de Parejas,C_Parejas,,"750,000.00"
Canela.TV,Mirriad VPP,F_Mirriad - VPP,,
Canela.TV,Cafe con Canela,M_Cafe Con Canela,,"175,000.00"
Canela.TV,Ponle Canela,C_Ponle Canela,,"450,000.00"
Canela.TV,Holiday,F_Holidays,,"450,000.00"
Canela.TV,BTS,H_BTS,,
Canela.TV,News,J_News,,
Canela.TV,Regular Collection,A_Regular Collection,,
Canela.TV,Enhanced Collection,C_Enhanced Collection,,
Canela.TV,Ad Free Movie Night,B_Ad Free Movie Night,,
Canela.TV,IWHM,B_IWHM,,
Canela.TV,Hispanic Heritage Month,E_Hispanic Heritage Month,,
Canela Sports,100% Futbol ,A_100% Futbol,,"515,000.00"
Canela Sports,Liga MX,R_Liga MX,July 20th - August 20th,"600,000.00"
Canela Sports,El Score,E_El Score,November 25th - April 2nd,"915,000.00"
Canela Sports,Informe Leo,N_Informe Leo,November 25th - April 2nd,"325,000.00"
Canela Sports,Verano de Gloria,Q_Verano de Gloria,During Baseball Season,"915,000.00"
Canela Sports,Formula 1,S_Formula 1,During Baseball Season,"250,000.00"
Canela Sports,Canelo Fight,T_Canelo Fight,During Baseball Season,
Canela Sports,Olympics,P_Olympics,Based on Games,"350,000.00"
Canela Sports,One on One,H_One on One,All Year,"1,500,000.00"
Canela Music,Between Stages,A_Between Stages,Concert Season (June - Sept),"300,000.00"
Canela Music,SXSW,B_SXSW_,24-Mar,"400,000.00"
Canela Music,Rising Notes,C_Rising Stars,Q4 '2024,"750,000.00"
Canela Music,La Pista ,E_La Pista,,"650,000.00"
Canela Music,Los Inolvidables,F_Los Inolvidables,All Year,"475,000.00"
Canela Music,Room Service,G_Room Service,All Year,"475,000.00"
Canela Music,Top Ten,G_Room Service,All Year,"175,000.00"
Canela Music,Story Time,I_Storytime,All Year,"175,000.00"
Canela Music,Beats & Bits,J_Beats & Bits,All Year,"350,000.00"
Canela Music,The Mix,K_The Mix,All Year,"175,000.00"
Canela Music,Mixtape,L_Mixtape,,
Canela Music,Regional Wonderland,M_Regional Wonderland,,
Canela Music,Tradiciones,N_Tradiciones con Estrellas,,
Canela Music,Ruta Musical,O_Ruta Musical,,
Canela Music,Pop Quiz,P_Pop Quizz,,
Canela Music,Anecdotas,Q_Anecdotas,,
Canela Music,Revelaciones,R_Revelaciones,,
Canela Kids,Lo mejor del año,A_Lo Mejor del Año,All Year,"175,000.00"
Canela Kids,12 days of xmas,B_12 days of xmas,March,"375,000.00"
Canela Kids,Ad Free Movie Night,C_Ad Free Movie Night copy,,"175,000.00"
Canela Kids,Super Ellas,D_Super Ellas,,"175,000.00"
